t,roll_deg,pitch_deg,yaw_deg,T1_sim,T2_sim,T3_sim,T1_arduino,T2_arduino,T3_arduino,v1,v2,v3
0.10000000000000005,-7.276920525024034e-19,0.4938742362764106,-8.832912687532666e-17,-0.31854700539533615,-3.753893329870526e-17,0.31854700539533615,-0.004031655880231014,-4.2222259024234496e-19,0.004031655880231014,-0.002015827940115507,-2.1111129512117248e-19,0.002015827940115507
0.10250000000000005,-8.441978817630974e-19,0.47160087980307075,-8.858855072235688e-17,-0.30418125355676967,-2.9576041463312693e-17,0.3041812535567698,-0.0038498352113058728,-5.883266996506911e-19,0.0038498352113058728,-0.0019249176056529364,-2.9416334982534555e-19,0.0019249176056529364
0.10500000000000005,-7.482157419687584e-19,0.45033203989384685,-8.807636904383108e-17,-0.2904633276516464,-3.028679340735043e-17,0.2904633276516464,-0.0036762140438254443,-5.53556792284521e-19,0.0036762140438254443,-0.0018381070219127221,-2.767783961422605e-19,0.0018381070219127221
0.10750000000000005,-6.687502006732899e-19,0.43002241274509023,-8.804327847355633e-17,-0.2773640186586947,-1.5361598650522874e-17,0.2773640186586947,-0.003510422645895633,-4.0189539398971355e-19,0.003510422645895633,-0.0017552113229478165,-2.0094769699485677e-19,0.0017552113229478165
0.11000000000000006,-7.314118150119046e-19,0.41062873784216536,-8.808919977452308e-17,-0.26485543390599753,-2.48300604173002e-17,0.26485543390599753,-0.003352107952648294,-2.3625195405027056e-19,0.003352107952648294,-0.001676053976324147,-1.1812597702513528e-19,0.001676053976324147
0.11250000000000006,-9.441040274139967e-19,0.39210970579248366,-8.86036595423971e-17,-0.2529109378278705,-2.4274305878143775e-17,0.2529109378278706,-0.0032009328155503725,-3.3797712431138813e-19,0.0032009328155503725,-0.0016004664077751863,-1.6898856215569406e-19,0.0016004664077751863
0.11500000000000006,-1.0124417526617617e-18,0.3744258703173088,-8.854912946980046e-17,-0.2415050953776424,-2.643971618658548e-17,0.24150509537764245,-0.0030565752854421102,-3.9287224887541235e-19,0.0030565752854421102,-0.0015282876427210551,-1.9643612443770617e-19,0.0015282876427210551
0.11750000000000006,-9.96046347218709e-19,0.3575395642145027,-8.833836465201303e-17,-0.23061361797861082,-2.1589728917482374e-17,0.23061361797861088,-0.002918727927799611,-4.192567642536222e-19,0.002918727927799611,-0.0014593639638998054,-2.096283821268111e-19,0.0014593639638998054
0.12000000000000006,-9.313913561027104e-19,0.34141481911288724,-8.780413926604725e-17,-0.2202133119005017,-2.4980059347706777e-17,0.2202133119005017,-0.002787097168782658,-3.583670255848716e-19,0.002787097168782658,-0.001393548584391329,-1.791835127924358e-19,0.001393548584391329
0.12250000000000007,-9.158248421144813e-19,0.32601728884701475,-8.75944170309407e-17,-0.21028202895359613,-1.8505855842525663e-17,0.21028202895359618,-0.0026614026706917593,-3.6606172379939694e-19,0.0026614026706917593,-0.0013307013353458796,-1.8303086189969847e-19,0.0013307013353458796
0.12500000000000006,-8.738409847125235e-19,0.31131417628888947,-8.705821992109547e-17,-0.20079861939736468,-2.4274328534229814e-17,0.20079861939736468,-0.0025413767355189185,-2.5381427916405244e-19,0.0025413767355189185,-0.0012706883677594592,-1.2690713958202622e-19,0.0012706883677594592
0.12750000000000006,-9.36480191710199e-19,0.29727416348057634,-8.675294246044804e-17,-0.19174288696491568,-2.6318519960873168e-17,0.19174288696491568,-0.0024267637353345035,-1.7724441039121362e-19,0.0024267637353345035,-0.0012133818676672518,-8.862220519560681e-20,0.0012133818676672518
0.13000000000000006,-1.0602385715291295e-18,0.28386734491869303,-8.693357600836388e-17,-0.1830955459088691,-1.7024940854898308e-17,0.18309554590886915,-0.002317319568308096,-2.1086009005350958e-19,0.002317319568308096,-0.001158659784154048,-1.0543004502675479e-19,0.001158659784154048
0.13250000000000006,-1.1241756143395232e-18,0.2710651638485182,-8.644169836798477e-17,-0.17483817997838252,-3.066392925301541e-17,0.17483817997838252,-0.002212811139214366,-2.4867328587473044e-19,0.002212811139214366,-0.001106405569607183,-1.2433664293736522e-19,0.001106405569607183
0.13500000000000006,-1.128000785567646e-18,0.2588403514318811,-8.644946588608316e-17,-0.1669532032410236,-9.162907491165369e-18,0.16695320324102367,-0.0021130158633259626,-2.929975444582491e-19,0.0021130158633259626,-0.0010565079316629813,-1.4649877222912455e-19,0.0010565079316629813
0.13750000000000007,-1.0689250728990103e-18,0.24716686865913678,-8.611254736529605e-17,-0.15942382266696317,-1.2205902415041744e-17,0.15942382266696317,-0.002017721192644009,-1.8240117631448427e-19,0.002017721192644009,-0.0010088605963220045,-9.120058815724213e-20,0.0010088605963220045
0.14000000000000007,-1.1174421167440768e-18,0.23601985088139166,-8.593978150266684e-17,-0.15223400239659995,-1.666070760675301e-17,0.1522340023966,-0.0019267241634635822,-2.9176651730041664e-19,0.0019267241634635822,-0.0009633620817317911,-1.4588325865020832e-19,0.0009633620817317911
0.14250000000000007,-1.0320417223917284e-18,0.22537555484474064,-8.541792757758094e-17,-0.14536842961621813,-1.3209182828014836e-17,0.14536842961621813,-0.0018398309643159953,-2.02614268830628e-19,0.0018398309643159953,-0.0009199154821579977,-1.01307134415314e-19,0.0009199154821579977
0.14500000000000007,-1.0340311664176726e-18,0.21521130811361672,-8.512038865378639e-17,-0.1388124819695998,-1.3866662149727372e-17,0.1388124819695998,-0.0017568565233725343,-1.469779079680708e-19,0.0017568565233725343,-0.0008784282616862672,-7.34889539840354e-20,0.0008784282616862672
0.14750000000000008,-1.0829962255780609e-18,0.20550546077545406,-8.494711971640044e-17,-0.13255219643671023,-1.3985497787386573e-17,0.1325521964367103,-0.0016776241144350267,-2.0502209351093144e-19,0.0016776241144350267,-0.0008388120572175134,-1.0251104675546572e-19,0.0008388120572175134
0.15000000000000008,-1.054849988556236e-18,0.1962373393237345,-8.450136069808452e-17,-0.1265742396136436,-1.397738550762963e-17,0.1265742396136436,-0.0016019649806776912,-1.5665026213665182e-19,0.0016019649806776912,-0.0008009824903388456,-7.832513106832591e-20,0.0008009824903388456
0.15250000000000008,-1.0687415111596043e-18,0.18738720262113429,-8.42536601410715e-17,-0.12086587933091504,-1.1356629677717358e-17,0.12086587933091507,-0.0015297179753420835,-1.4482520898031549e-19,0.0015297179753420835,-0.0007648589876710417,-7.241260449015774e-20,0.0007648589876710417
0.15500000000000008,-1.0835542419742843e-18,0.17893619984892603,-8.398482170673467e-17,-0.11541495755001202,-1.1442044838286612e-17,0.11541495755001205,-0.0014607292186225695,-1.7251887349616712e-19,0.0014607292186225695,-0.0007303646093112848,-8.625943674808356e-20,0.0007303646093112848
0.15750000000000008,-1.0573408379843021e-18,0.17086633035302776,-8.355115735283403e-17,-0.11020986448077126,-1.1725760771770475e-17,0.11020986448077129,-0.0013948517700139611,-1.774491670677139e-19,0.0013948517700139611,-0.0006974258850069806,-8.872458353385695e-20,0.0006974258850069806
0.1600000000000001,-1.017364511630255e-18,0.16316040530113574,-8.297277925039289e-17,-0.10523951386472488,-1.3948971431498415e-17,0.10523951386472488,-0.0013319453154255446,-1.4970306667074002e-19,0.0013319453154255446,-0.0006659726577127723,-7.485153333537001e-20,0.0006659726577127723
0.1625000000000001,-9.99921713530668e-19,0.15580201106924016,-8.262879482909537e-17,-0.1004933193719988,-8.42345482485471e-18,0.10049331937199883,-0.0012718758683968802,-1.6656456824996013e-19,0.0012718758683968802,-0.0006359379341984401,-8.328228412498007e-20,0.0006359379341984401
0.1650000000000001,-9.562916517221113e-19,0.14877547427950982,-8.207612735520288e-17,-0.09596117206169177,-1.1419345923311965e-17,0.09596117206169177,-0.0012145154847805766,-1.16605270269094e-19,0.0012145154847805766,-0.0006072577423902883,-5.8302635134547e-20,0.0006072577423902883
0.1675000000000001,-9.600739776441651e-19,0.1420658284150541,-8.164489156620298e-17,-0.09163341885790348,-1.1754048474756515e-17,0.09163341885790348,-0.0011597419902857212,-6.319990661998913e-20,0.0011597419902857212,-0.0005798709951428606,-3.1599953309994563e-20,0.0005798709951428606
0.1700000000000001,-1.0126125967665531e-18,0.13565878194043077,-8.142280950745219e-17,-0.08750084199571646,-9.856294940928057e-18,0.08750084199571649,-0.0011074387203028706,-1.0276079481824064e-19,0.0011074387203028706,-0.0005537193601514353,-5.138039740912032e-20,0.0005537193601514353
0.1725000000000001,-1.0117429907107803e-18,0.12954068785997888,-8.117142044074324e-17,-0.08355463939348973,-5.242511868516767e-18,0.08355463939348975,-0.0010574942714574476,-1.2799062739685414e-19,0.0010574942714574476,-0.0005287471357287238,-6.399531369842707e-20,0.0005287471357287238
0.1750000000000001,-9.76286453974599e-19,0.12369851464912118,-8.074637916706279e-17,-0.079786405909768,-6.539249096218481e-18,0.079786405909768,-0.001009802264363333,-7.41483145322217e-20,0.001009802264363333,-0.0005049011321816665,-3.707415726611085e-20,0.0005049011321816665
0.1775000000000001,-9.934005752158581e-19,0.11811981849670564,-8.03882964755333e-17,-0.0761881154449917,-9.12609232956341e-18,0.07618811544499172,-0.0009642611170720719,-1.2752367227083423e-19,0.0009642611170720719,-0.00048213055853603594,-6.376183613541712e-20,0.00048213055853603594
0.1800000000000001,-9.453653466692226e-19,0.11279271679925153,-7.983480532455822e-17,-0.07275210384996615,-8.227735941606618e-18,0.07275210384996615,-0.0009207738287358929,-1.0220257609454388e-19,0.0009207738287358929,-0.00046038691436794645,-5.110128804727194e-20,0.00046038691436794645
0.1825000000000001,-9.20674558696681e-19,0.10770586285063233,-7.939463223172956e-17,-0.06947105260476742,-6.555390733172531e-18,0.06947105260476742,-0.0008792477730243044,-6.991965039476934e-20,0.0008792477730243044,-0.0004396238865121522,-3.495982519738467e-20,0.0004396238865121522
0.1850000000000001,-9.2574158690558e-19,0.10284842167327572,-7.908881724312051e-17,-0.066337973233384,-5.0071406950182714e-18,0.06633797323338403,-0.0008395945008548281,-9.738847356030468e-20,0.0008395945008548281,-0.00041979725042741407,-4.869423678015234e-20,0.00041979725042741407
0.1875000000000001,-8.950373844894699e-19,0.0982100469393939,-7.860445354359643e-17,-0.06334619242095829,-6.4881349075254746e-18,0.06334619242095829,-0.0008017295520181005,-7.43671259769685e-20,0.0008017295520181005,-0.0004008647760090503,-3.718356298848425e-20,0.0004008647760090503
0.1900000000000001,-8.85060358870911e-19,0.09378085893307947,-7.820586566081375e-17,-0.06048933780197727,-5.517100760958927e-18,0.06048933780197729,-0.0007655722752965481,-7.667503224889551e-20,0.0007655722752965481,-0.00038278613764827405,-3.8337516124447754e-20,0.00038278613764827405
0.19250000000000012,-8.677011659434557e-19,0.0895514235063207,-7.777740049253973e-17,-0.05776132438918475,-5.336825241016079e-18,0.057761324389184764,-0.0007310456566938234,-8.640002865575856e-20,0.0007310456566938234,-0.0003655228283469117,-4.320001432787928e-20,0.0003655228283469117
0.19500000000000012,-8.356788490247075e-19,0.08551273198410748,-7.73042873993906e-17,-0.05515634161435009,-4.864208547083349e-18,0.0551563416143501,-0.0006980761554094298,-1.0463799712577953e-19,0.0006980761554094298,-0.0003490380777047149,-5.2318998562889765e-20,0.0003490380777047149
0.19750000000000012,-7.809473446001836e-19,0.08165618197582142,-7.677216524413437e-17,-0.05266884095332033,-3.975010335454919e-18,0.05266884095332033,-0.0006665935472094452,-8.601618068252342e-20,0.0006665935472094452,-0.0003332967736047226,-4.300809034126171e-20,0.0003332967736047226
0.20000000000000012,-7.445830591750142e-19,0.07797355905203468,-7.62595513339513e-17,-0.05029352410902863,-4.699868758585431e-18,0.05029352410902863,-0.0006365307748599422,-5.698238685559357e-20,0.0006365307748599422,-0.0003182653874299711,-2.8491193427796785e-20,0.0003182653874299711
0.20250000000000012,-7.369060545312602e-19,0.07445701924768608,-7.585635480677341e-17,-0.04802533172731333,-3.867403465600089e-18,0.048025331727313346,-0.0006078238053047482,-6.136309385776254e-20,0.0006078238053047482,-0.0003039119026523741,-3.068154692888127e-20,0.0003039119026523741
0.20500000000000013,-7.206204700715048e-19,0.07109907235436297,-7.535959832186411e-17,-0.04585943262153554,-5.56080770001173e-18,0.04585943262153554,-0.000580411493283482,-3.472518112168018e-20,0.000580411493283482,-0.000290205746641741,-1.736259056084009e-20,0.000290205746641741
0.20750000000000013,-7.296919551725055e-19,0.06789256596609951,-7.497995067115477e-17,-0.04379121348306068,-4.3030739264142815e-18,0.04379121348306069,-0.0005542354510995585,-5.524681372300523e-20,0.0005542354510995585,-0.00027711772554977923,-2.7623406861502616e-20,0.00027711772554977923
0.21000000000000013,-7.122562202437557e-19,0.06483067024470644,-7.446800280886078e-17,-0.04181626905570757,-5.4997739688167685e-18,0.04181626905570757,-0.0005292399242608802,-4.2375489827889914e-20,0.0005292399242608802,-0.0002646199621304401,-2.1187744913944957e-20,0.0002646199621304401
